text,sentiment
geç hafta çovid-19’a ilişkin endişe piyasa fiyat düzel beklenti gibi faktör netice hisse senet risk iştah zayıf seyret gözlemle bu bağ ol bist-100 baş yan kazanç neredeyse sıfırla banka hisse yıl baş yan gör kayıp %8 aş yeni hafta gündem ocak ayı enflasyon veri şirket gel çeyrek kar en önem yer tut borsa hafta ilk gün yurtdışı eğilim etkile hafta hafif al başlangıç yap bekle,neg
gün sat başla sonra gün iç toparla artı geçen bist-100 endeks sen saat gel sat gün eksi kritik destek hemen üzeri tamamla kapa kritik seviye ol bugün eğilim önem art endeks mevcut seviye tutun hal aşağı yön düzel eğilim UNK,neg
"geç hafta abd yıllık tahvil faiz gözle sıçra küresel baz hisse senet piyasa sat getir UNK hafta kayıp %5 aş tl değer kayıp neden dolar baz gerile %11 geç banka hisse kayıp miktar biraz üzeri ol art risk algı neden cuma gün cds prim de şubat ay sonra ilk kez baz puan üzeri çıkar ayı baz puan kapa yeni hafta başlangıç abd tahvil stres miktar azal cuma gün %1,55 çık faiz %1,4 gerile gör hafta iç gündem bugün açıkla çeyrek büyü veri hükümet salgın kısıtla at gevşe adım bddk açıkla banka sektör ocak ayı veri önem yer tut yeni hafta baş abd hisse toparla dikkat çek bıst de yurt diş takip et yeni hafta temkin yukarı yön eğilim başla tahmin et",neg
ukrayna kriz kaynak tedirgin küresel piyasa etkile devam et dün bist özellikle havacılık mali sektör hisse daha zayıf kal gözle sat baskı devam et endeks bugün yatay aç yap sonra yurt dişi eğilim göre hareket et bekle,neg
abd birleşik krallık hisse senet piyasa kapalı ol hafta ilk iş gün avrupa piyasa genelde zayıf eğilim sergile UNK de hafif sat eğilim gözle mayıs ay kısıtla yumuşa beklenti havacılık hisse diğer sektör olumlu ayrış ancak rusya seans sonra uç sınırla haziran kadar uza açıkla dün eğilim sonlan dün veri ak açı önem ilk çeyrek ol açıkla gsyih büyü özellikle yatırım net ihracat katkı tarım imalat sektör büyü olumlu karşıla veri ak sıra mayıs ayı turist gir mayıs ayı enflasyon banka nisan kar bekle küresel piyasa iş perşembe gün gel abd tarım dişi istihdam veri fed başkan para politika ilişkin mesaj bekle bugün UNK havacılık şirket üzeri baskı oluş endeks gün yatay başla orta vade sıkışık bant hareket koru tahmin et,neg
küresel piyasa imalat sanayi pmı veri bekle yurt iç iş kademe normal üçüncü etap bugün itibari başla dün abd hisse senet al eğilim devam et bist işlem hacim zayıf kal bu karşılık sat seyir devam et gün yaşa bist-100 seviye doğru geri çek sabah itibar abd endeks hafif artı ol asya piyasa seyir karışık seyret görünüm var bıst gün hafif al başla bekle te risk iştah zayıf kal devam et düşün,neg
abd borsa geçen ayı sen yedi yıl en zayıf ağustos ayı performans kapa bist özellikle banka havacılık hisse öncü ayı getiri tamamla banka sektör endeks havacılık sektör endeks düzey aylık yüksel göster bu birlikte olumlu ayrış ardından UNK sen hafta zayıfla sinyal de güç söyle mümkün dün özellikle kamu hariç banka telekom demir çelik perakende ticaret hisse satıcı yurtdışı taraf sat eğilim belirgin doğalgaz elektrik fiyat ayarla gir maliyet etki neden bazı şirket sat baskı oluş bekle bıst bugün miktar sat aç yap bekle,neg
bist-100 dün banka havacılık hisse gel alım art göster yeniden puan üzeri çık ancak hafta sen işlem gün yurtdışı taraf zayıf seyret neden miktar geri çek bekle,neg
piyasa yeni hafta baş market zincir gel rekabet ceza sanayi kullan doğalgaz yap fiyat art şirket nezit fiyatla yap faktör bağ ol hafta baş perakende şirket doğalgaz zam etkile sanayi şirket miktar sat baskı gör düşün diğer taraf banka olumlu bilanço açıkla geç hafta değer art kapa benzer eğilim hafta koru bekle geç cuma abd borsa artı kapa yeni hafta baş asya piyasa iş karışık seyir sergile bıst de yeni hafta hisse baz işlem yatay seyir başla bekle,neg
dün fed gel varlık alim program sonlan takvim one çek sinyal küresel piyasa dalga yol aç avrupa abd hisse senet endeks %2 varan oran gerile sabah itibar iş abd hisse senet vade yukarı yön hareket et gör dün yurtiçi iş daha kur geliş takip et dün bist-100 yatay kapa yap banka düzey kayıp var diğer taraf geç hafta orta çık yeni UNK varyant ilişkin piyasa yatıştırıcı yön bulgu paylaş bu özellikle geç gün sert sat gör havacılık turizm hisse toparla imkan sağla bekle bıst bugün yatay seyir koru bekle,neg
